2018-07-30 09:14:04,461 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:04,463 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:04,465 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:04,465 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:04,466 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:04,466 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:04,469 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:21,713 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:22,081 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:22,083 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:22,085 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:22,085 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:22,086 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:22,086 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:22,089 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:30,824 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:31,207 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:31,208 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:31,210 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:31,210 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:31,210 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:31,210 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:31,213 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:33,632 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:33,964 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:33,967 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:33,969 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:33,970 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:33,970 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:33,970 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:33,975 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:36,967 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:37,250 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:37,252 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:37,253 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:37,254 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:37,254 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:37,254 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:37,258 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:42,528 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:42,814 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:42,815 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:42,817 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:42,817 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-30 09:14:42,817 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:42,817 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:42,820 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-30 09:14:49,251 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:49,509 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:49,509 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:51,022 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:51,266 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:51,266 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:14:56,065 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:14:56,358 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:14:56,358 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:15:38,417 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:15:38,704 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:15:38,704 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:15:44,454 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:15:44,675 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:15:44,676 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:15:50,188 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:15:50,499 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:15:50,499 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
2018-07-30 09:15:56,491 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.runsystem:datnt:0.0.1-SNAPSHOT @ /home/datnguyen/Develop/Web Application/SpringMVC/datnt/pom.xml.
2018-07-30 09:15:56,791 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datnt
2018-07-30 09:15:56,791 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datnt
